title,award_class,award_category,name
The Silence of the Lambs,Title,BEST PICTURE,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
The Silence of the Lambs,Writing,WRITING (Adapted Screenplay),Ted Tally
The Silent Child,Title,SHORT FILM (Live Action),Chris Overton and Rachel Shenton
The Silent World,Title,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer"
The Sin of Madelon Claudet,Acting,ACTRESS,Helen Hayes
The Snake Pit,Production,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
The Social Network,Production,FILM EDITING,Angus Wall and Kirk Baxter
The Social Network,Music,MUSIC (Original Score),Trent Reznor and Atticus Ross
The Social Network,Writing,WRITING (Adapted Screenplay),Screenplay by Aaron Sorkin
The Solid Gold Cadillac,Production,COSTUME DESIGN (Black-and-White),Jean Louis
The Song of Bernadette,Acting,ACTRESS,Jennifer Jones
The Song of Bernadette,Production,ART DIRECTION (Black-and-White),"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little"
The Song of Bernadette,Production,CINEMATOGRAPHY (Black-and-White),Arthur Miller
The Song of Bernadette,Music,MUSIC (Original Score),Alfred Newman
The Sound of Music,Directing,DIRECTING,Robert Wise
The Sound of Music,Production,FILM EDITING,William Reynolds
The Sound of Music,Music,MUSIC (Original Song Score or Adaptation Score),Irwin Kostal
The Sound of Music,Title,BEST PICTURE,"Robert Wise, Producer"
The Sound of Music,Production,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
The Sting,Production,ART DIRECTION,Art Direction: Henry Bumstead; Set Decoration: James Payne
The Sting,Production,COSTUME DESIGN,Edith Head
The Sting,Directing,DIRECTING,George Roy Hill
The Sting,Production,FILM EDITING,William Reynolds
The Sting,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Marvin Hamlisch
The Sting,Title,BEST PICTURE,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
The Sting,Writing,WRITING (Original Screenplay),David S. Ward
The Stone Carvers,Title,DOCUMENTARY (Short Subject),"Marjorie Hunt and Paul Wagner, Producers"
The Story of Louis Pasteur,Acting,ACTOR,Paul Muni
The Story of Louis Pasteur,Writing,WRITING (Original Story),"Pierre Collings, Sheridan Gibney"
The Story of Louis Pasteur,Writing,WRITING (Screenplay),"Pierre Collings, Sheridan Gibney"
The Stratton Story,Writing,WRITING (Original Story),Douglas Morrow
The Subject Was Roses,Acting,ACTOR IN A SUPPORTING ROLE,Jack Albertson
The Sunshine Boys,Acting,ACTOR IN A SUPPORTING ROLE,George Burns
The Ten Commandments,Production,VISUAL EFFECTS,John Fulton
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,Title,DOCUMENTARY (Feature),"Aviva Slesin, Producer"
The Theory of Everything,Acting,ACTOR IN A LEADING ROLE,Eddie Redmayne
